tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Latitude,Longitude,Year,Country
15.123013698630135,8.582872928176796,21.941988950276244,3.86875,37.35294117647059,271.52,9.736740331491712,33.18273972602739,1014.2168493150684,273.26229508196724,34.5281,69.1723,2010,Afghanistan
15.871232876712329,11.795555555555556,22.48444444444445,3.86875,37.35294117647059,175.78571428571428,7.757142857142857,33.18273972602739,1014.2168493150684,273.26229508196724,41.3275,19.8189,2010,Albania
19.38876712328767,16.211845730027548,22.383287671232875,2.1616438356164385,37.35294117647059,201.76335877862596,11.220936639118456,33.18273972602739,1014.2168493150684,273.26229508196724,36.7323,3.0875,2010,Algeria
22.72767123287671,18.536065573770493,27.556164383561644,3.86875,37.35294117647059,165.98769507176132,12.021757016890215,33.18273972602739,1014.2168493150684,273.26229508196724,42.5078,1.5211,2010,Andorra
24.646186440677965,21.5375,27.774999999999995,3.86875,37.35294117647059,204.0,11.580000000000002,33.18273972602739,1014.2168493150684,273.26229508196724,-8.8368,13.2343,2010,Angola
27.55688622754491,25.702994011976045,29.62844311377246,3.86875,37.35294117647059,103.45247148288972,15.521341463414634,33.18273972602739,1014.2168493150684,273.26229508196724,18.217,-63.0578,2010,Anguilla
27.030635838150285,24.697976878612717,29.65,3.86875,37.35294117647059,77.17703349282297,16.432551319648095,33.18273972602739,1014.2168493150684,273.26229508196724,17.121,-61.8433,2010,Antigua and Barbuda
18.096986301369864,14.377808219178082,22.532967032967033,6.786092715231787,37.35294117647059,157.55448717948718,14.743093922651934,33.18273972602739,1014.2168493150684,273.26229508196724,-34.6131,-58.3772,2010,Argentina
14.594034090909092,8.29318181818182,21.36590909090909,3.86875,37.35294117647059,128.25,5.942329545454545,33.18273972602739,1014.2168493150684,273.26229508196724,40.1811,44.5136,2010,Armenia
13.320273972602738,7.201643835616438,20.155342465753428,2.6586301369863015,37.35294117647059,187.09777777777776,11.512569832402235,33.18273972602739,1014.2168493150684,273.26229508196724,-35.2835,149.1281,2010,Australia
16.303571428571427,12.445879120879122,20.06456043956044,3.86875,37.35294117647059,232.98666666666668,18.209890109890107,33.18273972602739,1014.2168493150684,273.26229508196724,40.3777,49.892,2010,Azerbaijan
25.697260273972603,22.199656357388317,29.912371134020617,3.9722222222222223,37.35294117647059,127.2391304347826,11.003673469387756,33.18273972602739,1014.2168493150684,273.26229508196724,25.0582,-77.3431,2010,Bahamas
28.289589041095887,25.31068493150685,32.14630136986302,7.933333333333334,37.35294117647059,254.38990825688072,15.698351648351649,33.18273972602739,1014.2168493150684,273.26229508196724,26.2279,50.5857,2010,Bahrain
26.69682080924855,23.518067226890757,31.435072463768115,4.319702602230484,37.35294117647059,175.51162790697674,8.500425531914894,33.18273972602739,1014.2168493150684,273.26229508196724,23.7104,90.4074,2010,Bangladesh
22.72767123287671,18.536065573770493,27.556164383561644,3.86875,37.35294117647059,165.98769507176132,12.021757016890215,33.18273972602739,1014.2168493150684,273.26229508196724,17.25,-88.7667,2010,Belize
22.72767123287671,18.536065573770493,27.556164383561644,3.86875,37.35294117647059,165.98769507176132,12.021757016890215,33.18273972602739,1014.2168493150684,273.26229508196724,27.4661,89.6419,2010,Bhutan
16.15095890410959,5.95,22.013702623906703,3.86875,37.35294117647059,165.98769507176132,12.021757016890215,33.18273972602739,1014.2168493150684,273.26229508196724,-19.0333,-65.2627,2010,Bolivia
22.72767123287671,18.536065573770493,27.556164383561644,3.86875,37.35294117647059,165.98769507176132,12.021757016890215,33.18273972602739,1014.2168493150684,273.26229508196724,-24.6545,25.9086,2010,Botswana
22.398622589531684,16.773553719008262,28.50413223140496,3.86875,37.35294117647059,150.57236842105263,9.768595041322314,33.18273972602739,1014.2168493150684,273.26229508196724,-15.7797,-47.9297,2010,Brazil
22.72767123287671,18.536065573770493,27.556164383561644,3.86875,37.35294117647059,165.98769507176132,12.021757016890215,33.18273972602739,1014.2168493150684,273.26229508196724,18.4269,-64.6208,2010,British Virgin Islands
28.848760330578507,22.564814814814813,35.94319526627219,6.4616161616161625,37.35294117647059,156.28571428571428,10.208888888888888,33.18273972602739,1014.2168493150684,273.26229508196724,12.3657,-1.5339,2010,Burkina Faso
22.72767123287671,18.536065573770493,27.556164383561644,3.86875,37.35294117647059,165.98769507176132,12.021757016890215,33.18273972602739,1014.2168493150684,273.26229508196724,-3.4271,29.9246,2010,Burundi
29.45506849315068,24.413709677419355,27.556164383561644,8.45,37.35294117647059,165.98769507176132,12.021757016890215,33.18273972602739,1014.2168493150684,273.26229508196724,11.5625,104.916,2010,Cambodia
23.20090909090909,20.28181818181818,27.78181818181818,3.86875,37.35294117647059,250.22222222222223,6.004545454545455,33.18273972602739,1014.2168493150684,273.26229508196724,3.8667,11.5167,2010,Cameroon
25.68540372670808,22.705479452054796,29.41237785016287,3.2157894736842105,37.35294117647059,52.3960396039604,17.800980392156863,33.18273972602739,1014.2168493150684,273.26229508196724,14.9315,-23.5125,2010,Cape Verde
27.815342465753425,23.900346020761248,30.447404844290656,2.713091922005571,37.35294117647059,165.98769507176132,12.021757016890215,33.18273972602739,1014.2168493150684,273.26229508196724,19.2866,-81.3744,2010,Cayman Islands
15.234615384615385,7.132872928176796,23.947632311977717,0.3991071428571428,37.35294117647059,174.7076923076923,10.67316384180791,33.18273972602739,1014.2168493150684,273.26229508196724,-33.4569,-70.6483,2010,Chile
12.64054794520548,8.204383561643837,17.611506849315067,1.4315068493150684,37.35294117647059,195.85496183206104,10.44821917808219,33.18273972602739,1014.2168493150684,273.26229508196724,39.9075,116.3972,2010,China
