Country,Capital,Area_km2,Latitude,Longitude
Kyrgyzstan,Bishkek,199951.0,42.87,74.59
Laos,Vientiane,236800.0,17.9667,102.6
Latvia,Riga,64559.0,56.946,24.1059
Lebanon,Beirut,10452.0,33.8933,35.5016
Lesotho,Maseru,30355.0,-29.3167,27.4833
Liberia,Monrovia,111369.0,6.3005,-10.7969
Libya,Tripoli,1759540.0,32.8874,13.1873
Liechtenstein,Vaduz,160.0,47.1415,9.5215
Lithuania,Vilnius,65300.0,54.6892,25.2798
Luxembourg,Luxembourg,2586.0,49.6117,6.13
Macau,,30.0,22.2006,113.5461
Madagascar,Antananarivo,587041.0,-18.9137,47.5361
Malawi,Lilongwe,118484.0,-13.9669,33.7873
Malaysia,Kuala Lumpur,330803.0,3.1412,101.6865
Maldives,Malé,300.0,4.1752,73.5092
Mali,Bamako,1240192.0,12.65,-8
Malta,Valletta,316.0,35.8997,14.5148
Marshall Islands,Majuro,181.0,7.0897,171.3803
Martinique,Fort-de-France,1128.0,14.6036,-61.0742
Mauritania,Nouakchott,1030700.0,18.0858,-15.9785
Mauritius,Port Louis,2040.0,-20.1619,57.4989
Mayotte,Mamoudzou,374.0,-12.7823,45.2288
Mexico,Mexico City,1964375.0,19.4285,-99.1277
Micronesia,Palikir,702.0,6.9248,158.1611
Moldova,Chișinău,33846.0,47.0056,28.8575
Monaco,Monaco,2.02,43.7333,7.4167
Mongolia,Ulan Bator,1564110.0,47.9077,106.8832
Montenegro,Podgorica,13812.0,42.4411,19.2636
Montserrat,Plymouth,102.0,16.75,-62.2
Morocco,Rabat,446550.0,34.0132,-6.8326
Mozambique,Maputo,801590.0,-25.9655,32.5832
Myanmar,Naypyidaw,676578.0,19.745,96.1297
Namibia,Windhoek,825615.0,-22.5667,17.1
Nauru,Yaren,21.0,-0.5508,166.9252
Nepal,Kathmandu,147181.0,27.7017,85.3206
Netherlands,Amsterdam,41850.0,52.374,4.8897
New Caledonia,Nouméa,18575.0,-22.2741,166.4488
New Zealand,Wellington,270467.0,-41.2866,174.7756
Nicaragua,Managua,130373.0,12.1328,-86.2504
Niger,Niamey,1267000.0,13.5137,2.1098
Nigeria,Abuja,923768.0,9.0579,7.4951
Niue,Alofi,260.0,-19.0545,-169.9177
Norfolk Island,Kingston,36.0,-29.03333333,167.95
North Korea,Pyongyang,120538.0,39.0339,125.7543
North Macedonia,Skopje,25713.0,41.9965,21.4314
Northern Mariana Islands,Saipan,464.0,15.2123,145.7545
Norway,Oslo,323802.0,59.9127,10.7461
Oman,Muscat,309500.0,23.5841,58.4078
Pakistan,Islamabad,881912.0,33.7215,73.0433
Palau,Ngerulmud,459.0,7.5008,134.6238
Palestine,Ramallah,6220.0,31.8996,35.2042
