Latitude,Longitude,Country,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
33.0,65.0,Afghanistan,,,,,,,,,,
41.0,20.0,Albania,,,,,,,,,,
28.0,3.0,Algeria,,,,,,,,,,
-14.33333333,-170.0,American Samoa,,,,,,,,,,
42.5,1.5,Andorra,,,,,,,,,,
-12.5,18.5,Angola,,,,,,,,,,
18.25,-63.16666666,Anguilla,27.380180180180176,25.402102102102102,29.82372372372372,,,91.29518072289157,18.31741741741742,,1016.1779503105591,
-90.0,0.0,Antarctica,-47.10958904109589,-51.12163265306122,-43.69533898305086,,,72.0,16.21875,,,
17.05,-61.8,Antigua and Barbuda,26.66284916201117,24.5731843575419,29.067039106145252,,,99.03399433427762,17.177932960893855,,1015.4310975609756,
-34.0,-64.0,Argentina,,,,,,,,,,
40.0,45.0,Armenia,,,,,,,,,,
12.5,-69.96666666,Aruba,28.079608938547487,26.066480446927372,30.938268156424584,,,90.94084507042254,28.72464985994398,,1011.6329457364343,
-27.0,133.0,Australia,,,,,,,,,,
47.33333333,13.33333333,Austria,9.255487804878047,6.1780487804878055,13.53780487804878,,,222.02439024390245,4.417073170731707,14.634146341463415,1020.0774390243902,
40.5,47.5,Azerbaijan,16.553571428571427,12.718478260869565,21.663400576368876,9.991242937853107,,,,,,
25.0343,-77.3963,Bahamas,26.161095890410955,22.56923076923077,30.270604395604394,3.477815699658703,,129.5132075471698,12.946537396121885,,1017.4896341463414,
26.0,50.55,Bahrain,28.451506849315066,25.4613698630137,32.200273972602744,1.2151515151515149,,229.97852760736197,15.450136986301374,,1009.0305949008498,
24.0,90.0,Bangladesh,,,,,,,,,,
13.16666666,-59.53333333,Barbados,27.016438356164382,24.767679558011054,29.82734806629834,1.462,,93.66388888888889,28.468698060941826,,1013.9764705882352,
53.0,28.0,Belarus,6.671521035598706,3.4873949579831933,11.917073170731706,3.620895522388059,75.67676767676768,,,,,
50.83333333,4.0,Belgium,11.590136986301369,7.891232876712329,15.513972602739724,6.249152542372881,,186.53739612188366,11.033516483516483,,1015.8821917808219,
17.25,-88.75,Belize,,,,,,,,,,
9.5,2.25,Benin,,,,,,,,,,
32.33333333,-64.75,Bermuda,22.760821917808222,20.127945205479453,25.19232876712329,4.774342105263158,,181.98342541436463,21.12027397260274,,1020.1798245614035,
27.5,90.5,Bhutan,,,,,,,,,,
-17.0,-65.0,Bolivia,,,,,,,,,,
44.0,18.0,Bosnia and Herzegovina,10.8292817679558,5.982596685082872,17.001933701657457,,,190.9441340782123,5.892817679558011,,1016.7671826625389,
-22.0,24.0,Botswana,,,,,,,,,,
54.4208,3.3464,Bouvet Island,10.327142857142857,9.356285714285713,11.256,,,196.17455621301775,28.792035398230087,,1013.9464183381086,
-10.0,-55.0,Brazil,25.424468085106383,20.845744680851062,32.02482269503546,,,145.7340425531915,2.59113475177305,,1012.0124113475177,
-6.0,71.5,British Indian Ocean Territory,,,,,,,,,,
18.431383,-64.62305,British Virgin Islands,27.567073170731707,25.228048780487804,30.902439024390244,,,104.9451219512195,12.710365853658537,,1015.8530487804879,
4.5,114.66666666,Brunei,,,,,,,,,,
43.0,25.0,Bulgaria,,,,,,,,,,
13.0,-2.0,Burkina Faso,,,,,,,,,,
-3.5,30.0,Burundi,,,,,,,,,,
13.0,105.0,Cambodia,,,,,,,,,,
6.0,12.0,Cameroon,,,,,,,,,,
60.0,-95.0,Canada,,,,,,,,,,
16.5388,-23.0418,Cape Verde,23.781215469613258,19.631944444444443,27.422535211267604,11.48,,51.73446327683616,22.62033898305085,,1015.0512820512821,
12.18,-68.25,Caribbean Netherlands,27.735616438356164,25.889041095890406,30.398904109589036,,,90.51506849315068,25.713698630136985,,1012.8983561643836,
19.3133,-81.2546,Cayman Islands,28.174794520547945,24.379333333333335,30.880333333333336,2.0392156862745097,,,,,,
7.0,21.0,Central African Republic,,,,,,,,,,
15.0,19.0,Chad,,,,,,,,,,
-30.0,-71.0,Chile,13.956986301369861,10.679558011049723,18.532485875706215,0.10421348314606742,,214.84444444444443,9.869298245614036,,1015.4238938053097,
35.0,105.0,China,,,,,,,,,,
-10.5,105.66666666,Christmas Island,24.466391184573002,22.784444444444443,26.59333333333333,,,147.15315315315314,16.157422969187678,,1012.1674157303372,
12.1642,96.871,Cocos (Keeling) Islands,,,,,,,,,,
4.0,-72.0,Colombia,,,,,,,,,,
-12.16666666,44.25,Comoros,,,,,,,,,,
-21.23333333,-159.76666666,Cook Islands,24.727747252747253,21.709444444444443,28.083746556473827,3.8365019011406845,,115.97428571428571,13.888101983002834,,1013.0180722891566,
10.0,-84.0,Costa Rica,22.726849315068492,18.407123287671233,29.02191780821918,6.523913043478261,,111.96330275229357,16.540000000000003,,1010.7296969696971,
45.16666666,15.5,Croatia,,,,,,,,,,
21.5,-80.0,Cuba,26.509756097560977,23.873780487804876,30.104878048780492,,,79.63414634146342,11.192682926829267,,1016.0524390243901,
12.116667,-68.933333,Curaçao,27.786629526462395,25.736211699164343,30.658774373259053,,,104.02521008403362,21.445378151260503,,1012.5078616352201,
35.0,33.0,Cyprus,,,,,,,,,,
49.75,15.5,Czechia,11.19917808219178,6.534520547945205,15.69260273972603,1.2169863013698632,59.171052631578945,181.73150684931508,12.392054794520547,29.654878048780485,1016.8323287671233,
0.0,25.0,DR Congo,,,,,,,,,,
56.0,10.0,Denmark,,,,,,,,,,
11.5,43.0,Djibouti,31.548170731707316,28.218292682926826,35.88414634146341,,,160.1829268292683,12.886585365853659,,1010.9676829268293,
