Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2023,1.445908546447754,,0.3684781193733215,55.20000076293945,0.2283011972904205,,0.7384709119796753,0.2605132460594177,0.460166871547699
Albania,2023,5.444690704345703,9.688706398010254,0.6907526254653931,69.19999694824219,0.8715454936027527,0.0678853020071983,0.8554250597953796,0.5973492860794067,0.3142271339893341
Algeria,2022,5.538172245025635,9.322542190551758,0.7834008932113647,66.69999694824219,0.4399707317352295,-0.0449124202132225,0.611082911491394,0.5834293365478516,0.2585958242416382
Angola,2014,3.794837951660156,9.00983428955078,0.7546154856681824,53.08000183105469,0.3745415508747101,-0.1727304309606552,0.8340756297111511,0.5952494144439697,0.3678641319274902
Argentina,2023,6.393228530883789,9.993596076965332,0.8921175003051758,67.30000305175781,0.8316837549209595,-0.1290609091520309,0.8460935354232788,0.720122218132019,0.3011621832847595
Armenia,2023,5.6790900230407715,9.729613304138184,0.819337785243988,68.19999694824219,0.8193762898445129,-0.1794440746307373,0.6807089447975159,0.5747167468070984,0.4226305484771728
Australia,2023,7.024582386016846,10.846433639526367,0.8964600563049316,71.19999694824219,0.875768780708313,0.1873090416193008,0.4815804660320282,0.7310531139373779,0.2481628209352493
Austria,2023,6.635663986206055,10.930412292480469,0.874427318572998,71.4000015258789,0.874083399772644,0.2092682719230651,0.5294297337532043,0.7124965786933899,0.2396080791950225
Azerbaijan,2023,5.213894844055176,9.636955261230469,0.7134778499603271,64.0999984741211,0.8286861777305603,-0.1601701378822326,0.6266407370567322,0.5090611577033997,0.2213183641433715
Bahrain,2023,5.959068298339844,10.87685775756836,0.8174772262573242,65.5999984741211,0.8685608506202698,0.1546350568532943,,0.6705686450004578,0.3359400033950805
Bangladesh,2023,4.113548755645752,8.782783508300781,0.4498020708560943,64.80000305175781,0.9192094206809998,0.0189974885433912,0.755618155002594,0.4353271722793579,0.4345818161964416
Belarus,2019,5.821453094482422,9.86724090576172,0.9167404770851136,66.0,0.656933605670929,-0.1922114193439483,0.5459047555923462,0.5589894652366638,0.1898214071989059
Belgium,2023,6.943598747253418,10.883184432983398,0.8959550261497498,71.19999694824219,0.8702002167701721,0.0649402514100074,0.5215713381767273,0.7252440452575684,0.2454957962036132
Belize,2014,5.955646514892578,9.13521957397461,0.7569324970245361,65.0,0.8735690712928772,-0.0015360447578132,0.7821053862571716,0.7350271344184875,0.2816044092178345
Benin,2023,4.419834136962891,8.17391300201416,0.3981879949569702,56.70000076293945,0.7856008410453796,-0.0725946202874183,0.5753048062324524,0.5730234384536743,0.4280768930912018
Bhutan,2015,5.082128524780273,9.197989463806152,0.8475744128227234,62.599998474121094,0.8301015496253967,0.273348331451416,0.6339557766914368,0.723232626914978,0.3115893006324768
Bolivia,2023,5.859886169433594,9.024975776672363,0.786039412021637,63.900001525878906,0.831521213054657,-0.0585208237171173,0.8765882849693298,0.7533968091011047,0.4011139869689941
Bosnia and Herzegovina,2023,6.008581161499023,9.759161949157717,0.8787869215011597,67.4000015258789,0.8472372889518738,0.2408037930727005,0.9476993680000304,0.5785500407218933,0.2487222701311111
Botswana,2023,3.3316478729248047,9.673301696777344,0.7013584971427917,55.0,0.7412241101264954,-0.2641736268997192,0.8139355778694153,0.6565471887588501,0.2474901229143142
Brazil,2023,6.5526909828186035,9.634684562683104,0.8564527034759521,66.0999984741211,0.8696613311767578,-0.0360353030264377,0.7328492403030396,0.6941930651664734,0.3128325641155243
Bulgaria,2023,5.589599132537842,10.27278995513916,0.9349161982536316,66.69999694824219,0.7543242573738098,-0.1312975287437439,0.9478561878204346,0.539438784122467,0.191884160041809
Burkina Faso,2023,4.462207794189453,7.692993640899658,0.5803030729293823,56.400001525878906,0.715367317199707,0.104911595582962,0.6496926546096802,0.639460027217865,0.3464720249176025
Burundi,2018,3.775283098220825,6.607255935668945,0.4847152233123779,55.20000076293945,0.6463986039161682,-0.0266341008245944,0.5986076593399048,0.6355936527252197,0.3627665936946869
Cambodia,2023,4.2213454246521,8.461865425109863,0.7376133799552917,62.29999923706055,0.9606927633285522,0.0699595808982849,0.799151599407196,0.6833860278129578,0.3943013846874237
Cameroon,2023,4.945847034454346,8.237628936767578,0.7158735394477844,57.20000076293945,0.7391365766525269,-0.0275833904743194,0.855074942111969,0.5883089900016785,0.3556301891803741
Canada,2023,6.8412065505981445,10.79428005218506,0.9024729132652284,71.5,0.8470964431762695,0.1960327625274658,0.4679251313209533,0.7263234257698059,0.3036596179008484
Central African Republic,2017,3.4758620262145996,6.7329254150390625,0.3195891380310058,45.29999923706055,0.6452523469924927,0.0739527344703674,0.8895660042762756,0.6022054553031921,0.5993354916572571
Chad,2023,4.544095516204834,7.253596782684326,0.6085478663444519,53.5,0.5860631465911865,0.1380545496940612,0.7550275921821594,0.5414711833000183,0.4665063619613647
Chile,2023,6.229820251464844,10.154905319213867,0.8743805289268494,70.5999984741211,0.814988374710083,-0.0268707424402236,0.8359451293945312,0.7785534858703613,0.2630908489227295
China,2023,6.144763946533203,9.86080837249756,0.7969825267791748,69.0,0.7933783531188965,-0.0315709598362445,,0.7079851627349854,0.2103500515222549
Colombia,2023,5.904404163360596,9.666558265686035,0.833208441734314,69.69999694824219,0.8234710693359375,-0.142464593052864,0.8702266812324524,0.754103422164917,0.2854169011116028
Comoros,2023,3.5880563259124756,8.094624519348145,0.4825874865055084,59.599998474121094,0.4522113502025604,0.0041974494233727,0.7041265368461609,0.5350395441055298,0.4046812057495117
