Country,Year_Life_expectancy,Life expectancy,Year_Life_Ladder,Life Ladder,Crime Rate,Year_Unemployment_Rate,Unemployment_Rate,Water_Quality,gdpPerCapita,Cost of Living Index,continent
Democratic Republic of the Congo,2015.0,59.8,,,,,,,,,
Denmark,2015.0,86.0,2023.0,7.50419282913208,26.6,2023.0,5.14,90.9,68589.74037250248,72.3,Europe
Djibouti,2015.0,63.5,2011.0,4.3691935539245605,61.1,2023.0,26.26,26.8,3733.99958929427,,Africa
Dominica,,,,,,,,50.2,10694.056340155576,,North America
Dominican Republic,2015.0,73.9,2023.0,5.921262264251709,,2023.0,5.56,42.1,11144.597290769716,37.9,North America
Ecuador,2015.0,76.2,2023.0,5.8517537117004395,60.7,2023.0,3.37,64.0,6704.640070579802,32.6,South America
Egypt,2015.0,79.0,2023.0,3.8806402683258057,47.0,2023.0,7.31,54.8,2982.6665980195303,21.0,Africa
El Salvador,2015.0,73.5,2023.0,6.481846809387207,62.1,2023.0,2.76,50.9,5574.619883594528,39.5,North America
Equatorial Guinea,2015.0,58.2,,,,2023.0,8.67,34.7,5658.0643797687735,,Africa
Eritrea,2015.0,64.7,,,,2023.0,5.87,16.6,674.0864351170947,,Africa
Estonia,2015.0,77.6,2023.0,6.429872989654541,24.5,2023.0,6.35,72.9,31962.074161184813,52.0,Europe
Eswatini,,,2022.0,3.502002954483032,,2023.0,37.64,18.7,4091.5015851048424,,Africa
Ethiopia,2015.0,64.8,2023.0,4.092648506164551,51.4,2023.0,3.5,19.4,1553.3091019233682,,Africa
Falkland Islands (Islas Malvinas),,,,,,2016.0,1.0,,,,
Faroe Islands,,,,,,2017.0,2.2,,,,
Fiji,2015.0,69.9,,,56.7,2023.0,4.33,35.1,6245.800961256869,35.4,Oceania
Finland,2015.0,81.1,2023.0,7.698929309844971,26.5,2023.0,7.16,96.3,54840.30612517379,63.2,Europe
France,2015.0,82.4,2023.0,6.556921482086182,54.6,2023.0,7.32,85.3,47033.51690872071,63.7,Europe
French Polynesia,,,,,,2023.0,11.72,,20633.48319949469,,Oceania
Gabon,2015.0,66.0,2023.0,5.104125022888184,,2023.0,20.36,35.6,8276.255932570552,,Africa
Gambia,2015.0,61.1,2023.0,4.690763473510742,,,,25.8,976.0904930814968,,Africa
"Gambia, The",,,,,,2023.0,6.48,,,,
Gaza Strip,,,,,,2022.0,24.42,,,,
Georgia,2015.0,74.4,2023.0,5.350635051727295,,2023.0,11.62,73.3,8631.262688205648,33.4,Asia
Germany,2015.0,81.0,2023.0,6.792490482330322,38.0,2023.0,3.05,98.1,54299.001090450634,62.2,Europe
Ghana,2015.0,62.4,2023.0,4.2984514236450195,44.1,2023.0,3.08,27.9,2185.5847377379646,30.9,Africa
Gibraltar,,,,,,2016.0,1.0,,,,
Greece,2015.0,81.0,2023.0,5.79606294631958,46.5,2023.0,11.0,96.4,24908.53719222118,52.0,Europe
Greenland,,,,,,2015.0,9.1,,52401.86246418338,,North America
Grenada,2015.0,73.6,,,,2017.0,24.0,54.9,11995.870553806511,,North America
Guam,,,,,,2023.0,5.42,,,,
Guatemala,2015.0,71.9,2023.0,6.42129373550415,60.1,2023.0,2.71,31.1,5978.083710013908,38.8,North America
Guernsey,,,,,,2023.0,5.98,,,,
Guinea,2015.0,59.0,2023.0,4.827179908752441,,2023.0,5.3,20.8,1724.6590939897526,,Africa
Guinea-Bissau,2015.0,58.9,,,,2023.0,3.18,20.4,977.1276716560292,,Africa
Guyana,2015.0,66.2,2007.0,5.992826461791992,68.8,2023.0,12.43,41.4,25482.29006108867,,South America
Haiti,2015.0,63.5,2018.0,3.6149280071258545,78.3,2023.0,14.62,18.6,2042.5394560250072,,North America
Honduras,2015.0,74.6,2023.0,5.860568046569824,74.3,2023.0,6.06,38.9,3450.5851815586984,,North America
